ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,WORKER_PARS,WORKER_BUCK,WORKER_DS,TIME,THROUG,AVG_RMSD
8,8,5,32,1024,256,3,5242880,20,4,6,473.759,949.00,2.23
8,8,5,32,1024,256,4,1048576,20,4,6,475.797,944.94,2.26
8,8,5,32,1024,256,4,5242880,20,4,6,478.356,939.88,2.26
8,8,5,96,256,10,1,1048576,20,4,6,140.032,3210.70,2.91
8,8,5,96,256,10,1,5242880,20,4,6,136.987,3282.07,2.91
8,8,5,96,256,10,2,1048576,20,4,6,138.332,3250.15,2.76
8,8,5,96,256,10,2,5242880,20,4,6,136.632,3290.59,2.76
8,8,5,96,256,10,3,1048576,20,4,6,138.264,3251.75,2.81
8,8,5,96,256,10,3,5242880,20,4,6,138.600,3243.87,2.81
8,8,5,96,256,10,4,1048576,20,4,6,137.303,3274.51,2.86
8,8,5,96,256,10,4,5242880,20,4,6,139.872,3214.37,2.86
8,8,5,96,256,50,1,1048576,20,4,6,140.483,3200.39,2.36
8,8,5,96,256,50,1,5242880,20,4,6,132.042,3404.98,2.36
8,8,5,96,256,50,2,1048576,20,4,6,141.155,3185.15,2.38
8,8,5,96,256,50,2,5242880,20,4,6,137.952,3259.11,2.38
8,8,5,96,256,50,3,1048576,20,4,6,137.621,3266.95,2.41
8,8,5,96,256,50,3,5242880,20,4,6,140.235,3206.05,2.41
8,8,5,96,256,50,4,1048576,20,4,6,143.271,3138.11,2.43
8,8,5,96,256,50,4,5242880,20,4,6,136.246,3299.92,2.43
8,8,5,96,256,256,1,1048576,20,4,6,144.290,3115.95,2.15
8,8,5,96,256,256,1,5242880,20,4,6,147.319,3051.88,2.15
8,8,5,96,256,256,2,1048576,20,4,6,143.754,3127.57,2.15
8,8,5,96,256,256,2,5242880,20,4,6,140.385,3202.62,2.15
8,8,5,96,256,256,3,1048576,20,4,6,145.254,3095.27,2.15
8,8,5,96,256,256,3,5242880,20,4,6,147.690,3044.22,2.15
8,8,5,96,256,256,4,1048576,20,4,6,148.770,3022.12,2.15
